video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"lYFNyj8tjDg","Ludmilla - Verdinha (Official Music Video)","2019-11-29T15:00:44.000Z","UCSCB1IQUmNa8Gn5VfSUAUpg","Ludmilla","10","19.30.11","Ludmilla|MC Beyonce|Funk|funk carioca|POP|Sem Querer|Hoje|Warner|MC Ludmilla","1520155","164088","22750","11110","https://i.ytimg.com/vi/lYFNyj8tjDg/default.jpg","False","False","#Ludmilla #VerdinhaVERDINHACompositora: LudmillaEditora: Warner ChappellProdutores: Walshy Fire e Topo La MarkaraEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realMinha mãe já perguntouO meu pai já perguntouA minha vó já perguntouQue planta é essa meu amorMinha mãe já perguntouO meu pai já perguntouA minha vó já perguntouQue plantinha é essa meu amorSou porra loucaMas também sou dedicadaEm casa não falta nadaTrabalho pra estudarEu tenho alma de pipa avoadaMinha vizinha fala, fala, não consegue acompanharUm dia vou poder falar toda verdadeA máscara que vai cair diante da sociedadeBang, bangNão em perturbaVou tacar fogo em mais umSó pra não ficar malucaEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realEu fiz um pé lá no meu quintalTo vendendo a grama da verdinha a um realFiquei loconaChapadonaSó com a marola da Ruhama Ficha Técnica:Produtora: UMANA (@umanafilm)Direção e Montagem: João Monteiro (@jpmmonteiro)Produção Executiva: Toti Higashi (@totihigashi)Direção Criativa: João e Audrey1º Ass de Direção: Audrey Nobrega2º Ass de Direção: Tize Salati2º Ass de Direção: Hana BatistaCoordenação de Produção: Isabelle AcioliDireção de Produção: Thiago FreireProdutora: Michelle RodriguesAjudante de Produção: Caleb ApoliAjudante de Produção: Rodrigo PedreiraAjudante de Produção: Rafael MartinsDireção de Fotografia: Fabio Politi1º Ass de Câmera: Rafael Giacondino2º Ass de Câmera: Maria NavarroVideo Assist: Rebeca CapeceLogger: Carolina ColomboSteadicam: ZugaAss Steadicam: Mateus FelipeEletricista: Marcelo Marujo (Melão)1º Ass de Elétrica: Danilo Soncela2º Ass de Elétrica: Aleandro GoesMaquinista: Julio Garcia (Julinho)1º Ass de Maquinaria: Reinaldo Chijo2º Ass de Maquinaria: Aliandro ZotiDiretor de Arte: Lucas AndradeAss e Produção de Arte/Objetos: Diego HarleyContra Regra: Gabriel TaveiraContra Regra: Maick EduardoAss de Contra Regragem: Hallan FerronFotografia (BTS): Kendy HigashiFotografia (Still): Rodolfo MagalhãesColor: BleachStylist (Ludmilla): Rodrigo PolackAss de Stylist: Ana BallesterosAss de Stylist: Laurentina RamalhoAss de Stylist: Junior MendesStylist (Elenco): Joseph AckonAss de Stylist: David Michael dos SantosCamareira: Paula MontagnerCostureira: ItaemaBeauty (Ludmilla): Cristian de Oliveira GomesBeauty (Elenco): Jessica Andrade MongeAss de Beauty (elenco): Anna Carolina Sant’Anna de SouzaProdutora de Casting: Aisha MbikilaElenco: David Newton César, Luiza Alves de Alexandre, Charlesde Lima Silva, Anddy Williams, Anderson de Lima Santos, AlisonOliveira MeirelesBailarinas (convidadas): Bruna Goncalves Coelho, PatríciaCristino Barros da Silva, Laís de Melo Oliveira, Emily daSilva FerreiraFornecedores:Equipamento de Câmera: MR5Equipamento de Luz e Maquinaria: Cine e Video / Elite CamEstrutura de Produção: Águia Locações, BestCom, Puff CrewGerador: ZerleiGeradorista: Vanei de Jesus BritoCatering: Tia Nenna e JeffEquipe Catering: Jefferson Alencar / Rodrigo da Paixão /Jonathan JoabTransporte:Caminhões de Produção e Vans: TransKinderrVan de Camera: Ricardo de SouzaCarro de Produção: Rubens Leandro D'Avila PereiraMotorista (catering): Wilson Roberto SoaresAgradecimentos especiais ao Tadashi Miyayaciki por ter nosoferecido o seu espaço para podermos realizar o projeto."
"0khinWzrO-o","Rap do Free Fire l Eu sou a lenda l Ft. Tauz, Yuri Black, VMZ e VG Beats","2019-11-29T22:00:02.000Z","UCIvBHgnnLSVr9enuPvBuwyw","Piuzinho","20","19.30.11","FREE|FIRE|BATTLEGROUNDS|free|fire|battlegrounds|hack|HACK|mito|piuzinho|piu","409018","145782","2237","11222","https://i.ytimg.com/vi/0khinWzrO-o/default.jpg","False","False","Primeiro Rap do Free Fire com a parceria do Piuzinho, Tauz, Yuri Black, VgBeats e VMZ. O clipe foi produzido pela Wallaroo Corp. em parceria com a Kinonik. A produção musical ficoupor conta do Leo Hammes e o beat foi criado por Sidney Scaccio.DATASHEETScript and Direction: Daniel Gravelli @danielgravelliPhotography Direction: Paulo Prazeres @paulo_prazeresExecutive Production: Aimée Borges @eiaimeeborgesDaniel GravelliProducers: Aimée BorgesDaniel GravelliPaulo PrazeresYuri BlackProducers Coordinators: Amanda Moura @moura_amandaDan Andrade @danandrade_oficialProduction Assistant: Gabriel Barge @gabrielbargeCharles RobertoPhotography Still: Rodrigo Baldissara @rbaldi_Illuminator: Luiz MadIlluminator Assistant: Gabriel BargeDrone Operator: Charles Roberto @chdroneMake up: Gleicy Favacho @gleicyfavachoMONTAGE AND POS PRODUCTIONEdition/Pos Production: Luiz Mad @luiz.madLogo Design: Nathan Redzera @redzera085MUSIC PRODUCTIONBeat: Sidney Scaccio @sidneyscacciobeatsProduction, Mixing and Mastering: Leo Hammes @leohammesLYRICS COMPOSITIONPiuzinhoTauzYuri BlackVMZVgBeatsMAKING OFProduction and Direction - Luiz MadEdition/Pos Production: Gabriel BargeCASTPiuzinho @piuzinhollTauz @tauzoficialYuri Black @yuriblackh2VMZ @vmzoficialVgBeats @vgbeatsoficialSUPPORT CASTAndré Renan Batista @renansousa11André Fontes @andre_fontessAngely Josuá @angelyjosuaBernardo Pontes @be.loboCaio Becker @caiolbeckerCaio FerreiraCazu Faria @cazu_fariaCharles RobertoChin @canaldochinDJliuth @enzolanobreFrancisco SilvaFubuki BG @fubukibgGabriel BargeGGEazy @ggeazy_66Hakira @hakiraoficialHandryus Marques @handryusJuliana Moura @ju_moura84Juliana Rente @lianajurJulianne BezerraJuuuh Sena @Juuuh_sennahJunior Martins @martinsvintedoisKarine França Forster @karineforster94Karol Muniz @kaah_muuniiizLe Ninja @le.ninjaffLucas AguiarLuiz Guilherme SilvaMarcela Alves @marcelaalveesssMarcelo Pena Câmara @marcelo_mpcMariana Özil @marianaozilMatheus Vicente @mathvicentNegay @jonasthomazbomfim_Neto Araújo @neto_araujo03Rafael Veríssimo @verissimobeatboxRichard Pena Câmara @richardpcamaraRodrigo BaldissaraRyze @marcinh.nhrSandro CardosoShiba GamePlay @shibagameplayTKKK @TKMillerWilma Del SartoYago Lazari @yagolazariPRODUCTIONWallaroo Corp. @wallaroocorpKinonik @produtorakinonikSPECIAL THANKSLuiz, Câmera e Produção @luizcameraeproducaoMPC Sonorização @mpcsonorizacaoWesley Sodré @heysodreWooMaxx @woomaxxMake e Asas"
"jB6-3jjiOXk","Zé Neto e Cristiano - BEBI MINHA BICICLETA - DVD Por Mais Beijos Ao Vivo","2019-11-29T14:00:11.000Z","UCRRu9OXVYd5clj2Bs29gUVQ","Zé Neto e Cristiano","10","19.30.11","ze neto e cristiano|zé neto e cristiano|musica sertaneja|música sertaneja|nova música de|largado as traças|derreter a aliança|Morador de rua|Notificação preferida|Bebida na ferida|ontem era eu|#zenetoecristiano|ferida curada|amigo taxista|bateria acabou|ze neto e cristiano 2019|estado decadente|mulher maravilha|sertanejo|status que eu não queria|sertanejo 2018|sertanejo universitário|enchendo e derramado","930485","57701","1063","1716","https://i.ytimg.com/vi/jB6-3jjiOXk/default.jpg","False","False","OUÇA O ÁUDIO NA SUA PLATAFORMA FAVORITA:SPOTIFY 👉 https://open.spotify.com/album/5Qn8laDtOhTweODnPud3KPDEEZER 👉 https://www.deezer.com/br/album/119073962?app_id=140685&utm_source=lf&utm_content=1f37c011d43ce7bdd3a02ff3bfb5061fAMAZON MUSIC 👉 https://music.amazon.com.br/albums/B081J4F5ZZAPPLE MUSIC 👉 https://music.apple.com/br/album/1488030710?app=music&lId=1792789&cId=none&src=Linkfire&sr=4&ign-itsct=catchall_p4&ign-itscg=30440&ign-mpt=uo%3D4TIDAL 👉 https://tidal.com/browse/track/122553497NAPSTER 👉 https://br.napster.com/artist/ze-neto-and-cristiano/album/bebi-minha-bicicleta-coracao-falido-ao-vivoGOOGLE PLAY 👉 https://play.google.com/store/music/album/Z%C3%A9_Neto_Cristiano_Bebi_Minha_Bicicleta_Cora%C3%A7%C3%A3o_Fal?id=Bmhyxlte4cscshangymmf6ewufe&PCamRefID=LFV_1f37c011d43ce7bdd3a02ff3bfb5061fYOUTUBE MUSIC 👉 https://music.youtube.com/watch?v=0iG714P6Bqk&list=PLaf863IOhXhyyXk4B67J7TnXEfDTtgwlkZé Neto e Cristiano - BEBI MINHA BICICLETA - DVD Por Mais Beijos Ao VivoBEBI MINHA BICICLETA ( Letra )Compositores: Rafael Quadros, Vinni Miranda, Waleria Leão, Denner Ferrari, Kid LimaCortaram minha luzPerdi o meu empregoMinha geladeiraEra só ovo e geloDepois da sacanagem que você fez comigoFiquei com coração e o bolso falidoCom o que aconteceuAté bala perdida tá tendo mais rumo que euBebi minha bicicletaBebi minha TVSó não bebo o meu celularPorque preciso ligar pra você#DVDPorMaisBeijosAoVivo #ZeNetoeCristiano #BebiMinhaBicicleta"
"e6RVMTXoSns","CHEGOU NOSSO QUADRO GIGANTE e DESABAFO + ESCLARECIMENTOS!","2019-11-29T18:12:58.000Z","UCR3vcUrhFUdzagng58ueI2w","Invento na Hora","24","19.30.11","%lucaslira%inventonahora%youtube%","1356202","258210","5211","18943","https://i.ytimg.com/vi/e6RVMTXoSns/default.jpg","False","False","● CLICA AQUI PRA SE INSCREVER 😂 → https://goo.gl/6RrS7C → INSTAGRAM: http://instagram.com/lucas_lira → TWITTER: http://www.twitter.com/lucas_lira → FACEBOOK: http://www.facebook.com/inventonahora"
"tLzmOBS1gZk","Felipe Araújo - Mentira (Felipe Araújo In Brasília / Ao Vivo / 2019)","2019-11-29T14:01:08.000Z","UC2QpwB8LiJWkP12GcW3S3zQ","FelipeAraujoVEVO","10","19.30.11","Felipe|Araújo|Mentira|(Felipe|In|Brasília|Ao|Vivo|Na|Praia|2019)|Universal|Music|International|Ltda.|Sertanejo|Hoje Eu Beberei|Atrasadinha|Sextou|Longevidade|Sofrência|Paranauê|Fetiche|Inventa Algum Sentimento|Cristiano Araújo|Música|Sertanejo Universitário|DVD Sertanejo|DVD|Aerocorpo|Aero Corpo|Músicas Sertanejas|Por Inteiro|Primeira Metade|Ainda Sou Tão Seu|Amor|da","516528","19852","274","852","https://i.ytimg.com/vi/tLzmOBS1gZk/default.jpg","False","False","Inscreva-se no canal: http://bit.ly/Inscreva-seFA Ouça agora: https://umusicbrazil.lnk.to/FelipeAraujoInBrasiliaYTMENTIRA (Thales Lessa, Rafa Torres)  Involuntariamente to ouvindo nossa música Lembrando que era só atravessar a rua, matar nossa vontade Essa parte da minha vida eu chamo de saudade E quando eu vejo to estalkeando suas fotos Ligando restrito para ouvir sua voz linda E como é linda Essa parte da minha vida eu chamo de recaída Eu corro para qualquer barzinho Pra qualquer balada Qualquer beijo é beijo, Qualquer corpo encaixa Essa parte da minha vida eu chamo de Mentira Eu to virado já faz 5 dias E a minha cama tá igual você Não tem meu corpo em cima dela E parece que não vai mais ter Mentira Na rede social é só mentira Eu posto o contrário da minha vida Como é que você superou a gente em tão pouco tempo me ensinaMe ensina como faz para não lembrar Me ensina como faz para não chorar Me ensina como faz para deixar tudo assim prá lá  Direção Artística: Miguel Cariello e Henrique Badke  Gerente Artístico: Daniel Rigon  Coordenação Artística: Alice Baldan, Igor Alarcon e Fernanda Mesa  Label Manager: Bárbara Cotta Produção musical: Blener Maycon  Direção Geral: Rafael Vannucci  Direção de Vídeo: Robson Rapoza Conecte-se com Felipe Araújo: Facebook: http://facebook.com/felipearaujoficial Twitter: http://twitter.com/felipearaujo_fa Instagram: http://instagram.com/felipearaujocantor http://felipearaujooficial.com/ #FelipeAraujo #Mentira #FelipeAraújoInBrasíliaMusic video by Felipe Araújo performing Mentira (Felipe Araújo In Brasília / Ao Vivo Na Praia / 2019). © 2019 Universal Music Internationalhttp://vevo.ly/WnDD5b"
"qedgJuV-D4Y","♫ FLAMENGO CAMPEÃO DO BRASILEIRÃO 2019 | Paródia Quando a Vontade Bater - PK e PK Delas","2019-11-29T14:50:44.000Z","UCGFNp4Pialo9wjT9Bo8wECA","FutParódias","17","19.30.11","Futebol|FutParodias|Paródia|futparodia|futeparodia|parodia|fut parodia|fut parodias|Paródia com Jogadores|Quando a Vontade Bater|Paródia Quando a Vontade Bater|PK e PK Delas|PK|Paródia PK|PK Delas|Flamengo|Paródia Flamengo|Futparódias Flamengo|Flamengo Campeão|Campeonato Brasileiro|Brasileirão|Flamengo Brasileirão|Gabigol|Paródia Gabigol|Futparódias Gabigol|Bruno Henrique|Paródia Bruno Henrique|Futparódias Bruno Henrique|Flamengo Gols","1355301","170263","2636","5029","https://i.ytimg.com/vi/qedgJuV-D4Y/default.jpg","False","False","Uma paródia de futebol da música Quando a Vontade Bater de PK e PK Delas, sobre mais um título do Flamengo. Um dia depois de levar a libertadores, veio a confirmação do título do Campeonato Brasileiro! Batendo todos os recordes o mengão de Jorge Jesus deu show. Agora Bruno Henrique e Gabigol lutam pela artilharia do campeonato!👕 NOSSA LOJA: https://bit.ly/futloljaBora seguir nossas redes? =)👍 INSTAGRAM:https://instagram.com/dezaodrumondhttps://instagram.com/leonwhosoeverhttps://instagram.com/FutParodias👍 TWITTER:https://twitter.com/dezaodrumondhttps://twitter.com/leonwhosoeverhttps://twitter.com/FutParodias👍 FACEBOOK:https://facebook.com/dezaodrumondhttps://facebook.com/leonwhosoeverhttps://facebook.com/FutParodias-----------------------------------------------------------------------------------------------🎼 Playback: Bruno Sanson💻 Edição: Juan Carlos Borgonovohttps://www.youtube.com/futebolnacional-----------------------------------------------------------------------------------------------LETRA:É o Fla!Que trem! O bonde do Mengão ergueu a taçaDepois de ser campeão do Brasa sem jogarNinguém foi páreo para essa SeleçãoQue mostrou classe de quem tá em outro patamarBruno Henrique é craque, deu mole, é degoladoO Gabigol mandou o cheirinho pra outro espaço-tempoNem o James Bond é classudo igual o ArrascaE o menino Gerson é o Coringa do FlamengoMeu Deus...O Flamengaço ergueu o BrasileiroA Liberta, a Mickey e o CariocaBrilhou no gramado, deu combo de vapoCuidado com a tropa do JJFoi com o Filho de Deus que o Flamengo cresceuMais que o número de seus sósiasBrilhou no gramado, deu combo de vapoCuidado com a tropa do JJSó craque de bola, aguenta essa tropaSe ficar pistola, então morde as costasSó craque de bola, aguenta essa tropaSe ficar pistola, então morde as costasEu sei que do Diego Alves nada passaAinda mais quando o Rodrigo e o Marí tão láTambém chegaram uns latera level 100E esse Arão 2.0 tá de arrebentarEverton é um mágico, em campo fez truques rarosDiego é tipo o Steve Rogers do FlamengoE ainda tem muito talento no MengaçoPra dar show desenfreado o time teve elencoMeu Deus...O Flamengaço ergueu o BrasileiroA Liberta, a Mickey e o CariocaBrilhou no gramado, deu combo de vapoCuidado com a tropa do JJFoi com o Filho de Deus que o Flamengo cresceuMais que o número de seus sósiasBrilhou no gramado, deu combo de vapoCuidado com a tropa do JJSó craque de bola, aguenta essa tropaSe ficar pistola, então morde as costasSó craque de bola, aguenta essa tropaSe ficar pistola, então morde as costas"
"9-naftja4S4","Raí Saia Rodada - Era Eu (DVD Era Eu) [Vídeo Oficial]","2019-11-29T14:02:06.000Z","UCphr4yejnGroAUGAPuxvSow","Raí Saia Rodada","10","19.30.11","Forró|Saia Rodada|Raí Soares|Descarada|Coelhinha|Whindesson Nunes|era eu|raí saia rodada|safado e meio|bebe e vem me procurar|eu não vou mudar|forró 2019|repertório novo raí|repertório saia rodada|sua música 2019","255125","18977","186","519","https://i.ytimg.com/vi/9-naftja4S4/default.jpg","False","False","Vídeo oficial da música Era Eu, que faz parte do álbum Era Eu  - Raí Saia Rodada.Ouça nos aplicativos de música clicando no link: https://SomLivre.lnk.to/Era_Eu_Ao_VivoERA EU(Composição: DJ IVIS / GUEDES NETO / CLEBER SHOW / JOÃO RIBEIRO)NÃO TEM JEITONÃO MUDANÃO PERDEUO SEU COSTUMEZINHODE MACHUCARMORRENDO DE SAUDADENÃO ME LIGAUSA DE MALANDRAGEMPRA EU TE LIGARSABE QUE O  FRACO SOU EUMAIS  VOU ME  DAR UM TEMPONÃO VOU TE PROCURAREU VOU DA UM SUMIÇOSÓ  PRA TE CASTIGARQUANDO A SAUDADEBATERVAI SE TOCARQUE ERA EUO AMORDA SUA VIDAMAIS PERDEUQUE ERA EUQUEM TE AMAVA TODO DIAMAIS NUNCA PERCEBEUVAI SER TARDE DEMAISPROBLEMA TEU"
"iK4QpxFEVDA","Light Reborn | Empire Reborn - Cinematic Trailer | Mobile Legends: Bang Bang!","2019-11-30T07:00:04.000Z","UCqmld-BIYME2i_ooRTo1EOg","Mobile Legends: Bang Bang","20","19.30.11","MobileLegends|Cinematic|Empire Reborn|Game Cinematic","3720359","69765","1523","6598","https://i.ytimg.com/vi/iK4QpxFEVDA/default.jpg","False","False","Lightborn Reborn cinematic trailer is officially released! The Princess of the Moniyan Empire—Silvanna, the Holy Knightess, makes her debut! She awakens the Imperial Knights and brings them new power! Will she be able to lead the Lightborn Chevaliers and protect the last stand of Moniyan civilization?Moreover, we have prepared a huge gift to all the MLBB players! Are you curious about what it is? The answer is in the cinematic! Watch it and find out the answer yourself! Don’t forget to share it in the Comment Area with those who didn't find the answers!"
"sLhVXUvas4A","DESAFIO DOS 100 REAIS NA BLACK FRIDAY 2019 !!!","2019-11-29T14:58:50.000Z","UCvuJTWl_peL49CUfF2EAbyg","Camila Loures","24","19.30.11","camila|loures|DESAFIO DOS 100 REAIS NA BLACK FRIDAY 2019 !!!","534670","66660","705","2268","https://i.ytimg.com/vi/sLhVXUvas4A/default.jpg","False","False","LINK DO LIVRÃO CAMILA LOURES : https://www.camilaloureslivros.com.br/index.php?route=product/product&product_id=1MOSTRA ESSE CANAL PRA ALGUEM, UM DIA TEREMOS 50 MILHÕES DE INSCRITOS!! SEJA MEMBRO AQUI DO CANALhttps://www.youtube.com/channel/UCvuJTWl_peL49CUfF2EAbyg/joinCANAL DO PH LOURES: https://www.youtube.com/user/phlouresINSTAGRAM: https://www.instagram.com/camilaloures/?hl=ptTWITTER:  https://twitter.com/camilaloures?lang=ptPERFIL NO FACEBOOK: https://www.facebook.com/camila.loures.9EMAIL PARA CONTATO: contatocamilaloures@gmail.com"
"wzzYK43j-ZU","Naiara Azevedo - Manda Áudio Feat. Dilsinho","2019-11-29T14:00:28.000Z","UCOfSEIUbEcOCMGPGyMPv4fg","Naiara Azevedo","10","19.30.11","Naiara Azevedo|Sertanejo|Naiara Azevedo - Manda Áudio|Manda Áudio Dilsinho|manda áudio|pagode 2019|top pagode|lançamentos 2019|top sertanejo|lançamentos 2020|play list sertaneja","1567130","41314","1126","2081","https://i.ytimg.com/vi/wzzYK43j-ZU/default.jpg","False","False","Clipe da música Manda Áudio, com Naiara Azevedo feat. DilsinhoOuça também nos aplicativos de música: https://SomLivre.lnk.to/Manda_AudioAcompanhe Naiara Azevedo nas redes sociais:Facebook: https://www.facebook.com/CantoraNaiaraAzevedoInstagram: https://www.instagram.com/NaiaraAzevedoTwitter: https://twitter.com/NaiarazevedoYoutube: http://www.youtube.com/NaiaraAzevedoOficialSite oficial: http://www.naiaraazevedo.com/Naiara Azevedo integra o Casting de artistas da NA Produções Artísticas.Contato para shows:(62) 99918-5657                                     (62) 3434-6278  Produção Musical: Blener Maycom Direção de Vídeo : Fred SiqueiraGravadora: Som LivreCompositores: Maykow Melo/Bruno Mandioca/João Matheus/Cláusio DutraLetra - Manda Áudio Você me deixou na loucura Sem ter como te localizar Dessa vez você foi imatura Por mensagem é fácil terminar Esfria a cabeça Cuidado com a rua Se eu te machuquei Tenta me perdoar Tenta me perdoarManda áudio Deixa eu ver se tem saudade no seu tom de voz No seu alo da pra saber se ainda pensa em nós Se o problema for amor pode voltar que ainda tem Você só sai da minha vida se eu for também"
